"tarih","id","score","tahmin_var","olay_varmi","match","toplam_olay_sayisi","tahmin_dogru_number","tahmin_yanlis_number"
"4/8/2017","2092","0.014472","0","0",,"10",,
"4/8/2017","2093","0.00521126","0","0",,"10",,
"4/8/2017","2094","0.0178214","0","0",,"10",,
"4/8/2017","2095","0.0127913","0","0",,"10",,
"4/8/2017","2096","0.0169573","0","0",,"10",,
"4/8/2017","2097","0.0014355","0","0",,"10",,
"4/8/2017","2098","0.000730541","0","0",,"10",,
"4/8/2017","2099","0.00313829","0","0",,"10",,
"4/8/2017","2100","0.0167987","0","0",,"10",,
"4/8/2017","2101","0.0125648","0","0",,"10",,
"4/8/2017","2102","0.00137114","0","0",,"10",,
"4/8/2017","2103","0.0147562","0","0",,"10",,
"4/8/2017","2104","0.0204332","0","0",,"10",,
"4/8/2017","2105","0.0156129","0","0",,"10",,
"4/8/2017","2106","0.0149283","0","0",,"10",,
"4/8/2017","2107","0.0175351","0","0",,"10",,
"4/8/2017","2108","0.0187573","0","0",,"10",,
"4/8/2017","2109","0.0203772","0","0",,"10",,
"4/8/2017","2110","0.00934851","0","0",,"10",,
"4/8/2017","2111","0.00015379","0","0",,"10",,
"4/8/2017","2112","0.00814562","0","0",,"10",,
"4/8/2017","2113","0.0117706","0","0",,"10",,
"4/8/2017","2115","0.0092028","0","0",,"10",,
"4/8/2017","2116","0.00281568","0","0",,"10",,
"4/8/2017","2117","0.0156378","0","0",,"10",,
"4/8/2017","2118","0.0134892","0","0",,"10",,
"4/8/2017","2119","0.0128909","0","0",,"10",,
"4/8/2017","2120","0.00820826","0","0",,"10",,
"4/8/2017","2122","0.018434","0","0",,"10",,
"4/8/2017","2123","0.0152494","0","0",,"10",,
"4/8/2017","2125","0.00236678","0","0",,"10",,
"4/8/2017","2126","0.0121982","0","0",,"10",,
"4/8/2017","2127","0.0112817","0","0",,"10",,
"4/8/2017","2128","0.0232123213","0","0",,"10",,
"4/8/2017","2129","0.00228758","0","0",,"10",,
"4/8/2017","2130","0.00887901","0","0",,"10",,
"4/8/2017","2131","0.01011","0","0",,"10",,
"4/8/2017","2132","0.00699864","0","0",,"10",,
"4/8/2017","2133","0.0171491","0","0",,"10",,
"4/8/2017","2134","0.0186592","0","0",,"10",,
"4/8/2017","2135","0.0177555","0","0",,"10",,
"4/8/2017","2114","0.00297246","0","0",,"10",,
"4/8/2017","2136","0.0178068","0","0",,"10",,
"4/8/2017","2137","0.00978778","0","0",,"10",,
"4/8/2017","2138","0.00940483","0","0",,"10",,
"4/8/2017","2139","0.00963195","0","0",,"10",,
"4/8/2017","2140","0.00514905","0","0",,"10",,
"4/8/2017","2141","0.01436","0","0",,"10",,
"4/8/2017","2142","0.00557319","0","0",,"10",,
"4/8/2017","2143","0.0100467","0","0",,"10",,
"4/8/2017","2144","0.0211858","0","0",,"10",,
"4/8/2017","2145","0.0207197","0","0",,"10",,
"4/8/2017","2146","0.00825822","0","0",,"10",,
"4/8/2017","2147","0.0210109","0","0",,"10",,
"4/8/2017","2148","0.0208715","0","0",,"10",,
